Date,Open,High,Low,Close,Adj Close,Volume
4/29/2022,20271.40039,21176.58008,20040.07031,21089.39063,21089.39063,2727108500
4/28/2022,20118.78906,20286.83008,19956.66992,20276.16992,20276.16992,2255667000
4/27/2022,19723.46094,20053.10938,19665.49023,19946.35938,19946.35938,2361021600
4/26/2022,19989.03906,20258.64063,19858.35938,19934.71094,19934.71094,2565706600
4/25/2022,20284.59961,20284.59961,19784.2793,19869.33984,19869.33984,2912292500
4/22/2022,20261.60938,20709.49023,20184.96094,20638.51953,20638.51953,2351346100
4/21/2022,20780.85938,20920.59961,20483.85938,20682.2207,20682.2207,2226185800
4/20/2022,20972.83984,21214.98047,20889.01953,20944.66992,20944.66992,1876429100
4/19/2022,21106,21191.80078,20896.42969,21027.75977,21027.75977,2240088300
4/14/2022,21463.34961,21587.4707,21358.73047,21518.08008,21518.08008,1719437600
4/13/2022,21192.61914,21531.48047,21141.06055,21374.36914,21374.36914,1696862200
4/12/2022,21279.17969,21519.13086,20988.19922,21319.13086,21319.13086,2045265200
4/11/2022,21688.0293,21688.0293,21132.53906,21208.30078,21208.30078,2104906000
4/8/2022,21667.5293,21872.00977,21568.2207,21872.00977,21872.00977,1739886100
4/7/2022,21910.40039,22236.92969,21779.18945,21808.98047,21808.98047,2078973200
4/6/2022,22220.21094,22244.99023,22015.11914,22080.51953,22080.51953,2749772600
4/4/2022,22227.10938,22523.64063,22124.0293,22502.31055,22502.31055,1868076200
4/1/2022,21693.09961,22039.55078,21558.05078,22039.55078,22039.55078,1937497800
3/31/2022,22262.16016,22262.16016,21922.58008,21996.84961,21996.84961,2226286300
3/30/2022,22101.63086,22391.34961,22033.7793,22232.0293,22232.0293,2729645500
3/29/2022,21771.28906,21937.26953,21722.16992,21927.63086,21927.63086,2259328100
3/28/2022,21422.19922,21790.9707,21202.68945,21684.9707,21684.9707,2200278800
3/25/2022,21735.60938,21944.08008,21289.25977,21404.88086,21404.88086,2358152600
3/24/2022,22002.86914,22231.66992,21900.13086,21945.94922,21945.94922,2404819800
3/23/2022,22088.78906,22423.50977,21983.09961,22154.08008,22154.08008,2835723800
3/22/2022,21319.18945,21906.32031,21266.90039,21889.2793,21889.2793,2590383300
3/21/2022,21823.07031,21823.07031,21096.31055,21221.33984,21221.33984,2340034100
3/18/2022,21232.88086,21646.15039,20922.36914,21412.40039,21412.40039,4590509200
3/17/2022,21430.71094,21501.23047,20786.68945,21501.23047,21501.23047,4826218000
3/16/2022,18956.01953,20120.84961,18584.03906,20087.5,20087.5,5501050500
3/15/2022,18931.17969,19392.68945,18235.48047,18415.08008,18415.08008,6012760100
3/14/2022,20203.83984,20203.83984,19416.7793,19531.66016,19531.66016,4096127300
3/11/2022,20460.0293,20778.85938,20079.15039,20553.78906,20553.78906,3019997500
3/10/2022,21106.57031,21114.43945,20709.61914,20890.25977,20890.25977,2694330600
3/9/2022,20820.01953,20957.7207,20102.57031,20627.71094,20627.71094,3674580900
3/8/2022,21082.39063,21303.51953,20638.94922,20765.86914,20765.86914,3231989700
3/7/2022,21308.90039,21327.18945,20826.35938,21057.63086,21057.63086,3322870000
3/4/2022,21879.13086,22017.93945,21838.99023,21905.28906,21905.28906,2438205000
3/3/2022,22434.25977,22543.41992,22378.10938,22467.33984,22467.33984,1937725100
3/2/2022,22568.35938,22712.43945,22299.14063,22343.91992,22343.91992,2227896000
3/1/2022,22739.83984,22937.56055,22591.73047,22761.71094,22761.71094,1796043100
2/28/2022,22818.16992,22818.16992,22406.11914,22713.01953,22713.01953,2833849000
2/25/2022,22908.09961,23046.85938,22718.15039,22767.17969,22767.17969,2524255600
